price,soc,soc_mwh,grid_import_mwh,grid_export_mwh,charge_mwh,discharge_mwh,objective,revenue,cumulative_revenue,generation_mw,charge_btm_mwh,charge_grid_mwh,charge_surplus_mwh,generation_mwh,generation_revenue_uncurtailed,generation_curtailed_mwh,generation_revenue_curtailed,pv_net_export_mwh,total_export_mwh
81.78,1.0,2.0,0.0,0.0,-0.0,0.0,0.0,0.0,173.87995348357427,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
80.49,1.0,2.0,0.0,0.0,-0.0,0.0,0.0,0.0,173.87995348357427,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
67.12,1.0,2.0,0.0,0.0,-0.0,0.0,0.0,0.0,173.87995348357427,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
74.95,1.0,2.0,0.0,0.0,-0.0,0.0,0.0,0.0,173.87995348357427,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
90.43,1.0,2.0,0.0,0.0,-0.0,0.0,0.0,0.0,173.87995348357427,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
90.29,1.0,2.0,0.0,0.0,-0.0,0.0,0.0,0.0,173.87995348357427,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
90.2,1.0,2.0,0.0,0.0,-0.0,0.0,0.0,0.0,173.87995348357427,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
91.52,1.0,2.0,0.0,0.0,-0.0,0.0,0.0,0.0,173.87995348357427,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
95.95,1.0,2.0,0.0,0.0,-0.0,0.0,0.0,0.0,173.87995348357427,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
102.11,1.0,2.0,0.0,0.0,-0.0,0.0,0.0,0.0,173.87995348357427,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
110.66,1.0,2.0,-0.0,0.0,0.0,0.0,0.0,0.0,173.87995348357427,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
119.96,1.0,2.0,-0.0,0.0,0.0,0.0,0.0,0.0,173.87995348357427,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
128.39,1.0,2.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,173.87995348357427,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
130.75,1.0,2.0,0.0,-0.0,0.0,-0.0,0.0,0.0,173.87995348357427,0.005,0.0,0.0,0.0,0.005,0.64685,0.005,0.64685,0.005,0.005
130.34,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,173.87995348357427,0.13,0.0,0.0,0.0,0.13,16.7648,0.13,16.7648,0.13,0.13
128.29,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,173.87995348357427,0.2425,0.0,0.0,0.0,0.2425,30.775675,0.2425,30.775675,0.2425,0.2425
130.03,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,173.87995348357427,0.21749999999999997,0.0,0.0,0.0,0.21749999999999997,27.981374999999996,0.21749999999999997,27.981374999999996,0.21749999999999997,0.21749999999999997
